field_codi_equipament,field_comarca,field_municipi,field_nom_equipament,field_espai_principal
801370014,Alt Penedès,Avinyonet del Penedès,ÀREA D'ACTIVITAT FÍSICA PL. DEL SINDICAT,Altres espais
801370011,Alt Penedès,Avinyonet del Penedès,"CAMP DE FUTBOL ""LA GRAVA""",CAM
801370002,Alt Penedès,Avinyonet del Penedès,CAMP DE FUTBOL L'ARBOÇAR,CAM
801370008,Alt Penedès,Avinyonet del Penedès,"PISTA POLIESPORTIVA ""ELS AMETLLERS""",POL
801370009,Alt Penedès,Avinyonet del Penedès,PISTA POLIESPORTIVA DE CANTALLOPS,POL
801370004,Alt Penedès,Avinyonet del Penedès,PISTA POLIESPORTIVA DE LES CABORIES,POL
801370010,Alt Penedès,Avinyonet del Penedès,PISTA POLIESPORTIVA L'ARBOÇAR DE DALT,POL
802720006,Alt Penedès,Les Cabanyes,ÀREA D'ACTIVITAT FÍSICA C. VINT-I-DOS,Altres espais
802720003,Alt Penedès,Les Cabanyes,CAMP MUNICIPAL DE FUTBOL,CAM
802720007,Alt Penedès,Les Cabanyes,CIRCUIT URBÀ,Altres espais
802720005,Alt Penedès,Les Cabanyes,CISTELLA DE BÀSQUET C. VINT-I-SIS,Altres espais
802720001,Alt Penedès,Les Cabanyes,LOCAL SOCIAL Y PISTA POLIESPORTIVA,POL
805810006,Alt Penedès,Castellet i la Gornal,CAMP DE FUTBOL SANT MARÇAL,CAM
805810002,Alt Penedès,Castellet i la Gornal,CENTRE CÍVIC DE ROCALLISA,POL
805810011,Alt Penedès,Castellet i la Gornal,CLUB PETANCA URB. ELS ROSERS,PET
805810004,Alt Penedès,Castellet i la Gornal,PARC DE LA GORNAL,CAM
805810013,Alt Penedès,Castellet i la Gornal,PISCINA MUNICIPAL CLARIANA,PAL
805810003,Alt Penedès,Castellet i la Gornal,"PISTA POLIESPORTIVA ""LES MASUQUES""",POL
805810007,Alt Penedès,Castellet i la Gornal,PISTA POLIESPORTIVA DE CLARIANA,POL
805810010,Alt Penedès,Castellet i la Gornal,PISTA POLIESPORTIVA URB. ELS ROSERS,POL
805810012,Alt Penedès,Castellet i la Gornal,ZONA ESPORTIVA TORRELLETES,POL
806540009,Alt Penedès,Castellví de la Marca,ÀREA D'ACTIVITAT FÍSICA CENTRE POLIVALENT DE LA MÚNIA,Altres espais
806540003,Alt Penedès,Castellví de la Marca,CAMP DE FUTBOL MUNICIPAL DE LA MÚNIA,CAM
806540008,Alt Penedès,Castellví de la Marca,FERRADA DEL CASTELLOT,Altres espais
806540004,Alt Penedès,Castellví de la Marca,PISCINA MUNICIPAL DE CASTELLVÍ DE LA MARCA,PAL
806540015,Alt Penedès,Castellví de la Marca,PISTES DE PADEL DE LA MÚNIA,PAD
808500014,Alt Penedès,Font-rubí,ÀREA D'ACTIVITAT FÍSICA C. GRABUAC,Altres espais
808500011,Alt Penedès,Font-rubí,ÀREA D'ACTIVITAT FÍSICA PARC DE LA SITJOTA,PET
808500001,Alt Penedès,Font-rubí,CAMP DE FUTBOL MUNICIPAL,CAM
808500013,Alt Penedès,Font-rubí,CIRCUIT DE CURSA A PEU C. DE FONT-RUBÍ,Altres espais
808500005,Alt Penedès,Font-rubí,PAVELLÓ POLIESPORTIU MUNICIPAL,PAV
808500006,Alt Penedès,Font-rubí,PISCINES MUNICIPALS,PAL
808500003,Alt Penedès,Font-rubí,PISTES DE TENNIS MUNICIPALS,TEN
809190012,Alt Penedès,Gelida,ÀREA ESCALADA DE GELIDA,Altres espais
809190007,Alt Penedès,Gelida,CAMP DE FUTBOL MUNICIPAL,CAM
809190001,Alt Penedès,Gelida,PAVELLÓ MUNICIPAL D'ESPORTS,PAV
809190002,Alt Penedès,Gelida,PISCINES MUNICIPALS,PAL
809190005,Alt Penedès,Gelida,PISTA POLIESPORTIVA PG. CIRCUMVAL·LACIÓ,POL
809190015,Alt Penedès,Gelida,PISTES DE PETANCA MUNICIPAL,PET
809190008,Alt Penedès,Gelida,PISTES DE TENNIS I PÀDEL,TEN
809450005,Alt Penedès,La Granada,CAMP DE FUTBOL MUNICIPAL,CAM
